comparison,horizon_days,block_length_days,n_pairs,mean_MAE_improvement_m,relative_MAE_improvement,ci_low_m,ci_high_m,dm_statistic,dm_p_value,dm_holm_p_value
S4_vs_S0,7,14,908,-0.0762784228302571,-0.12528838753200872,-0.14364424010464993,-0.018850960976833978,,,
S4_vs_S0,7,30,908,-0.0762784228302571,-0.12528838753200872,-0.1583965592209069,-0.01579391134772219,-2.0580860355837536,0.03958187526277208,0.07916375052554415
S4_vs_S0,7,60,908,-0.0762784228302571,-0.12528838753200872,-0.15963687960230435,-0.00031173114018422804,,,
S4_vs_S0,14,14,908,0.010019802046800221,0.011558765176412172,-0.04547933774063865,0.06514891066873355,,,
S4_vs_S0,14,30,908,0.010019802046800221,0.011558765176412172,-0.05087339085204044,0.0819534640758696,0.33476565381253615,0.7378018713134145,0.7378018713134145
S4_vs_S0,14,60,908,0.010019802046800221,0.011558765176412172,-0.05702016144363856,0.09024523060431092,,,
