station_set,horizon_days,MAE_m_mean,MAE_m_std,RMSE_m_mean,RMSE_m_std,bias_m_mean,bias_m_std,NSE_mean,NSE_std,KGE_mean,KGE_std,MAE_skill_vs_persistence_mean,MAE_skill_vs_persistence_std
S0,1,0.21735911374146927,0.06995349393969759,0.30016190925161845,0.0780433936767172,0.012297690758113974,0.16346905340978543,0.8174851000421327,0.3361699424444777,0.9177418429022023,0.08516219179203383,-0.9317244791246385,1.1556497845013867
S0,3,0.3950468231569857,0.06908196354409987,0.5367525208750963,0.08917521154102474,0.07297327358126492,0.2087861168609177,0.25175368988656815,1.3245065390547115,0.7506578341181048,0.34507135940304273,-0.28447174065369807,0.30140141312720614
S0,5,0.5045994262152287,0.06896943312192302,0.679871786952631,0.12241395464352162,0.10921715723883828,0.23730387684912604,-0.11225567292375511,1.8751462042700449,0.6734122101114031,0.40683858347295204,-0.15530662908288673,0.14566116269980603
S0,7,0.6052836365307013,0.0933784889026402,0.8016873873857367,0.14953021129186833,0.14147270557745684,0.3114280175435923,-0.7375681690302841,2.997647456286356,0.6737003667773841,0.31663043173128913,-0.17622831300556577,0.19893885320449398
S0,14,0.8456174829661731,0.1552523434508366,1.0937977615443546,0.24792008111516398,0.2039334281324205,0.45548860111326445,-3.8802501505208027,8.987407420520338,0.5887552325747876,0.24338243599111492,-0.30457461115443074,0.524411860738124
S4,1,0.4492375270494897,0.3473992238273487,0.5366126666360479,0.3415289520519498,0.3298000559754711,0.4282909058095042,0.3968945126805911,0.8134176949399824,0.7822963097846376,0.1841534132078753,-2.615224393898881,2.564196775644376
S4,3,0.540252375165093,0.35948595162204217,0.6715315669103304,0.34623741257188356,0.3622227153189245,0.475465329150927,0.058572323299254096,1.2756219063721985,0.7273167979385924,0.26464841808981415,-0.6576428828842782,0.9467805326986738
S4,5,0.5782315034608565,0.34356606737905304,0.7478151781505364,0.32908317647433366,0.33081807495081095,0.488356744703627,-0.10620729270248636,1.4614508542659974,0.7376027435896291,0.25012311278790345,-0.2698472660384143,0.6080671182845211
S4,7,0.6517524077002649,0.29618465359425716,0.8462868992019967,0.2961220203944167,0.3314519799811329,0.4744519728026804,-0.940311757011303,3.0861785622339855,0.6579176831821547,0.3612942147323391,-0.21720403469676497,0.4101249945889727
S4,14,0.82132614405633,0.20113464545924312,1.0609708689785307,0.2766818488059085,0.2054059853995349,0.4325170916075865,-3.3521128008138157,7.882372134987415,0.49700148009670186,0.430501927494588,-0.24047298837312206,0.44676576037298127
