station_set,horizon_days,n_issue_dates,MAE_skill_vs_persistence,skill_ci_low,skill_ci_high,NSE,predictively_useful
S4,1,908,-2.8196718203795683,-3.647598563507561,-2.1758318962162364,0.9173316792017572,False
S4,2,908,-1.3036333480465139,-1.8006357064682572,-0.9430773882581334,0.8981475280054044,False
S4,3,908,-0.7971263773352577,-1.1639738365310464,-0.5200568505182745,0.8846962555209973,False
S4,4,908,-0.4421595531558866,-0.7263834520723217,-0.2665387961845257,0.8851324464971926,False
S4,5,908,-0.36487099906685194,-0.6166548922073047,-0.2074991871589171,0.8600259740016255,False
S4,6,908,-0.27814524949967545,-0.4796594947970352,-0.13877697750450832,0.8485691727480498,False
S4,7,908,-0.20674679543174346,-0.38264832351706884,-0.09608150907632801,0.8378220770378348,False
S4,8,908,-0.15834036246222039,-0.32979404340004453,-0.05949047656290045,0.826789558290405,False
S4,9,908,-0.19356440249636453,-0.3592682228286909,-0.09373316480824564,0.7963063791260586,False
S4,10,908,-0.13116803851912118,-0.27438403272199907,-0.04993781566903464,0.7942545481412678,False
S4,11,908,-0.05083358076237565,-0.17566476116739904,0.026617622930691986,0.7983758388738922,False
S4,12,908,-0.06025677204739899,-0.18914852545948452,0.029139614254043506,0.7776389769817071,False
S4,13,908,-0.06325882075038503,-0.18675324145648808,0.03609035053322062,0.7608090819620079,False
S4,14,908,-0.015471745695893935,-0.12642154384818202,0.07297216204641191,0.7583478196610544,False
