comparison,horizon_days,block_length_days,n_pairs,mean_MAE_improvement_m,relative_MAE_improvement,ci_low_m,ci_high_m,dm_statistic,dm_p_value
tcn_gru_S4_vs_ridge_S4,7,14,908,-0.1130470017416683,-0.20143220531416675,-0.2054140682997357,-0.026531949582904436,,
tcn_gru_S4_vs_ridge_S4,7,30,908,-0.1130470017416683,-0.20143220531416675,-0.2116103221660411,-0.004744406779684278,-2.716078503506211,0.0066060251895412175
tcn_gru_S4_vs_ridge_S4,7,60,908,-0.1130470017416683,-0.20143220531416675,-0.1908626889497814,0.00836908489771211,,
tcn_gru_S4_vs_ridge_S4,14,14,908,0.35549471520205606,0.2985066978202595,0.18222852075911594,0.5259126269251974,,
tcn_gru_S4_vs_ridge_S4,14,30,908,0.35549471520205606,0.2985066978202595,0.2016477665262619,0.5515163806563232,2.83250611943594,0.004618468215889793
tcn_gru_S4_vs_ridge_S4,14,60,908,0.35549471520205606,0.2985066978202595,0.2883430244131853,0.554621950652116,,
