lookback_days,objective_mean_MAE_m,fold_SD_m,count,fold_SE_m,within_one_SE_of_best
7,0.842821604366905,0.03155328939005046,4,0.01577664469502523,False
14,0.8271256201387178,0.035162614657395244,4,0.017581307328697622,False
30,0.8133335128470516,0.0513452001953142,4,0.0256726000976571,False
60,0.77021655491196,0.04606549258195321,4,0.023032746290976604,True
