job_key,phase,fold,partition,architecture,lookback_days,station_set,seed,best_epoch,best_validation_loss,parameter_count,train_origins,validation_origins,evaluation_origins
C|lstm|7|S0|82|test,E5,C,test,lstm,7,S0,82,30.0,0.0057653114199638,51342.0,4311,330,315
D|lstm|7|S0|82|test,E5,D,test,lstm,7,S0,82,35.0,0.0062698535621166,51342.0,4984,234,177
final_period|lstm|7|S0|82|test,E5,final_period,test,lstm,7,S0,82,16.0,0.0108729563653469,51342.0,5232,177,296
A|lstm|7|S4|42|test,E5,A,test,lstm,7,S4,42,45.0,0.0041766590438783,52366.0,3014,339,330
B|lstm|7|S4|42|test,E5,B,test,lstm,7,S4,42,31.0,0.0029093173798173,52366.0,3711,248,324
C|lstm|7|S4|42|test,E5,C,test,lstm,7,S4,42,28.0,0.0044971741735935,52366.0,4311,330,315
D|lstm|7|S4|42|test,E5,D,test,lstm,7,S4,42,28.0,0.005042522214353,52366.0,4984,234,177
final_period|lstm|7|S4|42|test,E5,final_period,test,lstm,7,S4,42,43.0,0.0077658016234636,52366.0,5232,177,296
A|lstm|7|S4|52|test,E5,A,test,lstm,7,S4,52,62.0,0.0041378960013389,52366.0,3014,339,330
B|lstm|7|S4|52|test,E5,B,test,lstm,7,S4,52,26.0,0.0029355436563491,52366.0,3711,248,324
C|lstm|7|S4|52|test,E5,C,test,lstm,7,S4,52,16.0,0.0045794947072863,52366.0,4311,330,315
D|lstm|7|S4|52|test,E5,D,test,lstm,7,S4,52,23.0,0.0051716975867748,52366.0,4984,234,177
final_period|lstm|7|S4|52|test,E5,final_period,test,lstm,7,S4,52,50.0,0.007775661535561,52366.0,5232,177,296
A|lstm|7|S4|62|test,E5,A,test,lstm,7,S4,62,66.0,0.0041277837008237,52366.0,3014,339,330
B|lstm|7|S4|62|test,E5,B,test,lstm,7,S4,62,31.0,0.0029170555062592,52366.0,3711,248,324
C|lstm|7|S4|62|test,E5,C,test,lstm,7,S4,62,13.0,0.0045075844973325,52366.0,4311,330,315
D|lstm|7|S4|62|test,E5,D,test,lstm,7,S4,62,42.0,0.0049875471740961,52366.0,4984,234,177
final_period|lstm|7|S4|62|test,E5,final_period,test,lstm,7,S4,62,35.0,0.0078634638339281,52366.0,5232,177,296
A|lstm|7|S4|72|test,E5,A,test,lstm,7,S4,72,59.0,0.0040967841632664,52366.0,3014,339,330
B|lstm|7|S4|72|test,E5,B,test,lstm,7,S4,72,40.0,0.0029469344299286,52366.0,3711,248,324
C|lstm|7|S4|72|test,E5,C,test,lstm,7,S4,72,26.0,0.0044883824884891,52366.0,4311,330,315
D|lstm|7|S4|72|test,E5,D,test,lstm,7,S4,72,12.0,0.0053377780131995,52366.0,4984,234,177
final_period|lstm|7|S4|72|test,E5,final_period,test,lstm,7,S4,72,42.0,0.0076658283360302,52366.0,5232,177,296
A|lstm|7|S4|82|test,E5,A,test,lstm,7,S4,82,65.0,0.0041557177901268,52366.0,3014,339,330
B|lstm|7|S4|82|test,E5,B,test,lstm,7,S4,82,35.0,0.0029510117601603,52366.0,3711,248,324
C|lstm|7|S4|82|test,E5,C,test,lstm,7,S4,82,18.0,0.0044885496608912,52366.0,4311,330,315
D|lstm|7|S4|82|test,E5,D,test,lstm,7,S4,82,23.0,0.0051322123035788,52366.0,4984,234,177
final_period|lstm|7|S4|82|test,E5,final_period,test,lstm,7,S4,82,26.0,0.0076753650791943,52366.0,5232,177,296
A|ridge|7|S0|0|test,E5,A,test,ridge,7,S0,0,,,,3014,339,330
B|ridge|7|S0|0|test,E5,B,test,ridge,7,S0,0,,,,3711,248,324
C|ridge|7|S0|0|test,E5,C,test,ridge,7,S0,0,,,,4311,330,315
D|ridge|7|S0|0|test,E5,D,test,ridge,7,S0,0,,,,4984,234,177
final_period|ridge|7|S0|0|test,E5,final_period,test,ridge,7,S0,0,,,,5232,177,296
A|ridge|7|S4|0|test,E5,A,test,ridge,7,S4,0,,,,3014,339,330
B|ridge|7|S4|0|test,E5,B,test,ridge,7,S4,0,,,,3711,248,324
C|ridge|7|S4|0|test,E5,C,test,ridge,7,S4,0,,,,4311,330,315
D|ridge|7|S4|0|test,E5,D,test,ridge,7,S4,0,,,,4984,234,177
final_period|ridge|7|S4|0|test,E5,final_period,test,ridge,7,S4,0,,,,5232,177,296
