job_key,phase,fold,partition,architecture,lookback_days,station_set,seed,best_epoch,best_validation_loss,parameter_count,train_origins,validation_origins,evaluation_origins
A|lstm|7|S0|42|test,E5,A,test,lstm,7,S0,42,90.0,0.0054784431122243,51342.0,3014,339,330
B|lstm|7|S0|42|test,E5,B,test,lstm,7,S0,42,32.0,0.003646221011877,51342.0,3711,248,324
C|lstm|7|S0|42|test,E5,C,test,lstm,7,S0,42,35.0,0.0058246068656444,51342.0,4311,330,315
D|lstm|7|S0|42|test,E5,D,test,lstm,7,S0,42,28.0,0.0062475120648741,51342.0,4984,234,177
final_period|lstm|7|S0|42|test,E5,final_period,test,lstm,7,S0,42,28.0,0.010596222244203,51342.0,5232,177,296
A|lstm|7|S0|52|test,E5,A,test,lstm,7,S0,52,50.0,0.0054931244812905,51342.0,3014,339,330
B|lstm|7|S0|52|test,E5,B,test,lstm,7,S0,52,50.0,0.0036936127580702,51342.0,3711,248,324
C|lstm|7|S0|52|test,E5,C,test,lstm,7,S0,52,29.0,0.0058533600531518,51342.0,4311,330,315
D|lstm|7|S0|52|test,E5,D,test,lstm,7,S0,52,37.0,0.0062199002131819,51342.0,4984,234,177
final_period|lstm|7|S0|52|test,E5,final_period,test,lstm,7,S0,52,16.0,0.0107582593336701,51342.0,5232,177,296
A|lstm|7|S0|62|test,E5,A,test,lstm,7,S0,62,50.0,0.0054747471585869,51342.0,3014,339,330
B|lstm|7|S0|62|test,E5,B,test,lstm,7,S0,62,31.0,0.0036923578009009,51342.0,3711,248,324
C|lstm|7|S0|62|test,E5,C,test,lstm,7,S0,62,31.0,0.0057972739450633,51342.0,4311,330,315
D|lstm|7|S0|62|test,E5,D,test,lstm,7,S0,62,31.0,0.0062190848402678,51342.0,4984,234,177
final_period|lstm|7|S0|62|test,E5,final_period,test,lstm,7,S0,62,16.0,0.0108180278912186,51342.0,5232,177,296
A|lstm|7|S0|72|test,E5,A,test,lstm,7,S0,72,81.0,0.005416817497462,51342.0,3014,339,330
B|lstm|7|S0|72|test,E5,B,test,lstm,7,S0,72,33.0,0.0036598274018615,51342.0,3711,248,324
C|lstm|7|S0|72|test,E5,C,test,lstm,7,S0,72,29.0,0.0057425783015787,51342.0,4311,330,315
D|lstm|7|S0|72|test,E5,D,test,lstm,7,S0,72,35.0,0.006271953228861,51342.0,4984,234,177
final_period|lstm|7|S0|72|test,E5,final_period,test,lstm,7,S0,72,27.0,0.0105852708220481,51342.0,5232,177,296
A|lstm|7|S0|82|test,E5,A,test,lstm,7,S0,82,51.0,0.0054877479560673,51342.0,3014,339,330
B|lstm|7|S0|82|test,E5,B,test,lstm,7,S0,82,36.0,0.0036921848077327,51342.0,3711,248,324
