job_key,phase,fold,partition,architecture,lookback_days,station_set,seed,best_epoch,best_validation_loss,parameter_count,train_origins,validation_origins,evaluation_origins
A|lstm|7|S0|42|validation,E4,A,validation,lstm,7,S0,42,90,0.0054784431122243,51342,3014,339,339
B|lstm|7|S0|42|validation,E4,B,validation,lstm,7,S0,42,32,0.003646221011877,51342,3711,248,248
C|lstm|7|S0|42|validation,E4,C,validation,lstm,7,S0,42,35,0.0058246068656444,51342,4311,330,330
D|lstm|7|S0|42|validation,E4,D,validation,lstm,7,S0,42,28,0.0062475120648741,51342,4984,234,234
A|lstm|7|S1|42|validation,E4,A,validation,lstm,7,S1,42,51,0.005311214365065,51598,3014,339,339
B|lstm|7|S1|42|validation,E4,B,validation,lstm,7,S1,42,32,0.0035713349934667,51598,3711,248,248
C|lstm|7|S1|42|validation,E4,C,validation,lstm,7,S1,42,8,0.0059596016071736,51598,4311,330,330
D|lstm|7|S1|42|validation,E4,D,validation,lstm,7,S1,42,33,0.0062008826062083,51598,4984,234,234
A|lstm|7|S2|42|validation,E4,A,validation,lstm,7,S2,42,50,0.004775044042617,51854,3014,339,339
B|lstm|7|S2|42|validation,E4,B,validation,lstm,7,S2,42,37,0.0034054946154356,51854,3711,248,248
C|lstm|7|S2|42|validation,E4,C,validation,lstm,7,S2,42,26,0.0053992727771401,51854,4311,330,330
D|lstm|7|S2|42|validation,E4,D,validation,lstm,7,S2,42,33,0.0057629547081887,51854,4984,234,234
A|lstm|7|S3|42|validation,E4,A,validation,lstm,7,S3,42,65,0.0045594861730933,52110,3014,339,339
B|lstm|7|S3|42|validation,E4,B,validation,lstm,7,S3,42,24,0.0030289320275187,52110,3711,248,248
C|lstm|7|S3|42|validation,E4,C,validation,lstm,7,S3,42,20,0.0051814028993248,52110,4311,330,330
D|lstm|7|S3|42|validation,E4,D,validation,lstm,7,S3,42,23,0.0055742557160556,52110,4984,234,234
A|lstm|7|S4|42|validation,E4,A,validation,lstm,7,S4,42,45,0.0041766590438783,52366,3014,339,339
B|lstm|7|S4|42|validation,E4,B,validation,lstm,7,S4,42,31,0.0029093173798173,52366,3711,248,248
C|lstm|7|S4|42|validation,E4,C,validation,lstm,7,S4,42,28,0.0044971741735935,52366,4311,330,330
D|lstm|7|S4|42|validation,E4,D,validation,lstm,7,S4,42,28,0.005042522214353,52366,4984,234,234
A|lstm|7|S4-CSA|42|validation,E4,A,validation,lstm,7,S4-CSA,42,65,0.0045594861730933,52110,3014,339,339
B|lstm|7|S4-CSA|42|validation,E4,B,validation,lstm,7,S4-CSA,42,24,0.0030289320275187,52110,3711,248,248
C|lstm|7|S4-CSA|42|validation,E4,C,validation,lstm,7,S4-CSA,42,20,0.0051814028993248,52110,4311,330,330
D|lstm|7|S4-CSA|42|validation,E4,D,validation,lstm,7,S4-CSA,42,23,0.0055742557160556,52110,4984,234,234
A|lstm|7|S4-LUA|42|validation,E4,A,validation,lstm,7,S4-LUA,42,50,0.0042351093143224,52110,3014,339,339
B|lstm|7|S4-LUA|42|validation,E4,B,validation,lstm,7,S4-LUA,42,16,0.0034495471045374,52110,3711,248,248
C|lstm|7|S4-LUA|42|validation,E4,C,validation,lstm,7,S4-LUA,42,25,0.0044957650825381,52110,4311,330,330
D|lstm|7|S4-LUA|42|validation,E4,D,validation,lstm,7,S4-LUA,42,27,0.0051195002160966,52110,4984,234,234
A|lstm|7|S4-CKH|42|validation,E4,A,validation,lstm,7,S4-CKH,42,47,0.0042759981006383,52110,3014,339,339
B|lstm|7|S4-CKH|42|validation,E4,B,validation,lstm,7,S4-CKH,42,17,0.0030076669063419,52110,3711,248,248
C|lstm|7|S4-CKH|42|validation,E4,C,validation,lstm,7,S4-CKH,42,25,0.0045355968177318,52110,4311,330,330
D|lstm|7|S4-CKH|42|validation,E4,D,validation,lstm,7,S4-CKH,42,23,0.0051383003592491,52110,4984,234,234
A|lstm|7|S4-VIE|42|validation,E4,A,validation,lstm,7,S4-VIE,42,50,0.0041459202766418,52110,3014,339,339
B|lstm|7|S4-VIE|42|validation,E4,B,validation,lstm,7,S4-VIE,42,17,0.0030951146036386,52110,3711,248,248
C|lstm|7|S4-VIE|42|validation,E4,C,validation,lstm,7,S4-VIE,42,25,0.0044488660059869,52110,4311,330,330
D|lstm|7|S4-VIE|42|validation,E4,D,validation,lstm,7,S4-VIE,42,23,0.0050734523683786,52110,4984,234,234
