job_key,phase,fold,partition,architecture,lookback_days,station_set,seed,best_epoch,best_validation_loss,parameter_count,train_origins,validation_origins,evaluation_origins
A|lstm|60|S4|42|validation,E2,A,validation,lstm,60,S4,42,51,0.0044871224090456,52366,2522,286,286
B|lstm|60|S4|42|validation,E2,B,validation,lstm,60,S4,42,22,0.0036547018680721,52366,3077,62,62
C|lstm|60|S4|42|validation,E2,C,validation,lstm,60,S4,42,22,0.005030941683799,52366,3370,277,277
D|lstm|60|S4|42|validation,E2,D,validation,lstm,60,S4,42,21,0.0134062692523002,52366,3856,38,38
A|tcn_gru|60|S4|42|validation,E2,A,validation,tcn_gru,60,S4,42,34,0.0052375122904777,23342,2522,286,286
B|tcn_gru|60|S4|42|validation,E2,B,validation,tcn_gru,60,S4,42,4,0.0075438506901264,23342,3077,62,62
C|tcn_gru|60|S4|42|validation,E2,C,validation,tcn_gru,60,S4,42,28,0.0048398254439234,23342,3370,277,277
D|tcn_gru|60|S4|42|validation,E2,D,validation,tcn_gru,60,S4,42,7,0.0146566303446888,23342,3856,38,38
A|compact_transformer|60|S4|42|validation,E2,A,validation,compact_transformer,60,S4,42,13,0.005729709751904,19726,2522,286,286
B|compact_transformer|60|S4|42|validation,E2,B,validation,compact_transformer,60,S4,42,17,0.004266548436135,19726,3077,62,62
C|compact_transformer|60|S4|42|validation,E2,C,validation,compact_transformer,60,S4,42,13,0.0051974840462207,19726,3370,277,277
D|compact_transformer|60|S4|42|validation,E2,D,validation,compact_transformer,60,S4,42,8,0.0119087118655443,19726,3856,38,38
