phase,fold,partition,model,architecture,lookback_days,station_set,seed,horizon_days,n,MAE_m,RMSE_m,bias_m,NSE,KGE,MAE_skill_vs_persistence
E4,A,validation,persistence,lstm,7,S0,42,1,339,0.1912979351032448,0.2687911318596126,-2.9498525073744373e-05,0.9873645540574166,0.9936823037926572,0.0
E4,A,validation,persistence,lstm,7,S0,42,3,339,0.4901474926253687,0.6782864928418385,0.0007669616519174,0.9195637660378804,0.9597752751667183,0.0
E4,A,validation,persistence,lstm,7,S0,42,5,339,0.6926843657817109,0.9382296767069817,0.0011209439528023,0.8461229664930505,0.9230431156408132,0.0
E4,A,validation,persistence,lstm,7,S0,42,7,339,0.8269616519174042,1.0860846840845098,5.899705014750185e-05,0.7936814744224164,0.8968471930114787,0.0
E4,A,validation,persistence,lstm,7,S0,42,14,339,0.9687020648967553,1.3155530931904458,-0.0028613569321533,0.6967869699175451,0.848525942517584,0.0
E4,A,validation,lstm,lstm,7,S0,42,1,339,0.1407103929266465,0.2003262013044093,-0.0174205416986024,0.99298163075148,0.9933923814130204,0.2644437439917783
E4,A,validation,lstm,lstm,7,S0,42,3,339,0.4425783275678797,0.613116430901768,-0.0095486929740178,0.9342779198044144,0.9610514216662772,0.0970507159032785
E4,A,validation,lstm,lstm,7,S0,42,5,339,0.6514952452414858,0.8855673103242571,-0.0066655299375194,0.8629122567665377,0.9187600435354094,0.0594630434508828
E4,A,validation,lstm,lstm,7,S0,42,7,339,0.7970310303173233,1.044088959880439,-0.007623303414798,0.8093284688814841,0.8843804194642368,0.0361934819234767
E4,A,validation,lstm,lstm,7,S0,42,14,339,0.9351490532789258,1.254715084138251,-0.0074543612791025,0.7241828043395995,0.8087728974026271,0.0346370807224463
E4,B,validation,persistence,lstm,7,S0,42,1,248,0.1243951612903225,0.2607147433870107,-0.005766129032258,0.9483810138318794,0.9740368139087928,0.0
E4,B,validation,persistence,lstm,7,S0,42,3,248,0.3029838709677419,0.5058671889965051,-0.0237903225806451,0.8120772026011669,0.9029249233668728,0.0
E4,B,validation,persistence,lstm,7,S0,42,5,248,0.4220564516129032,0.6574888077055491,-0.05375,0.7008523697243263,0.8371709420862626,0.0
E4,B,validation,persistence,lstm,7,S0,42,7,248,0.5185887096774194,0.7929103699906501,-0.0788306451612903,0.5868190167967169,0.7690845878458511,0.0
E4,B,validation,persistence,lstm,7,S0,42,14,248,0.7951612903225806,1.1535614557786094,-0.1523387096774193,0.2621769665025574,0.5579556510350769,0.0
E4,B,validation,lstm,lstm,7,S0,42,1,248,0.1255061978630481,0.2700415922955341,-0.0524885776975464,0.9446217014370666,0.9405099509800644,-0.0089315095635638
E4,B,validation,lstm,lstm,7,S0,42,3,248,0.2997725461375328,0.504802992587488,-0.0062516285431002,0.8128670399882024,0.8735860279595091,0.0105989959793965
E4,B,validation,lstm,lstm,7,S0,42,5,248,0.4228401995906906,0.6474640932065471,-0.0212265910304363,0.7099050188613698,0.8004784305484968,-0.0018569742857674
E4,B,validation,lstm,lstm,7,S0,42,7,248,0.5235195198462855,0.770509116633092,-0.0013937022032278,0.6098355530741868,0.7190061400983823,-0.0095081325081936
E4,B,validation,lstm,lstm,7,S0,42,14,248,0.8232045341643593,1.101822421281322,0.055647014740013,0.3268777481947806,0.49034321713588,-0.0352673654805331
E4,C,validation,persistence,lstm,7,S0,42,1,330,0.1891515151515151,0.3073493718289276,-0.0029696969696969,0.959911792780242,0.9798244307364145,0.0
E4,C,validation,persistence,lstm,7,S0,42,3,330,0.4552424242424243,0.7100335032641599,-0.0053636363636363,0.7852397303414277,0.8930132113966438,0.0
E4,C,validation,persistence,lstm,7,S0,42,5,330,0.6125151515151516,0.9569631575188696,-0.004090909090909,0.6110682050055247,0.8060982752263691,0.0
E4,C,validation,persistence,lstm,7,S0,42,7,330,0.7505151515151515,1.1050705448481146,-0.0023333333333333,0.483119958854411,0.7418950973007561,0.0
E4,C,validation,persistence,lstm,7,S0,42,14,330,1.0006060606060605,1.3274779002897092,0.0052727272727272,0.2642132349054814,0.6300545017391028,0.0
E4,C,validation,lstm,lstm,7,S0,42,1,330,0.1902237745306709,0.3013163078232181,-0.1432481378172385,0.9614701561167752,0.9439995956422232,-0.005668785567469
E4,C,validation,lstm,lstm,7,S0,42,3,330,0.4258185231830134,0.6741239957254085,-0.1182819744384651,0.8064131603017225,0.8872411400485453,0.064633477664951
E4,C,validation,lstm,lstm,7,S0,42,5,330,0.5822637486493948,0.917865010502659,-0.0763258131164495,0.642199748762023,0.8041336544361766,0.0493888237555025
E4,C,validation,lstm,lstm,7,S0,42,7,330,0.7050306763721234,1.0589663119234012,-0.0417176047816422,0.5253493879499651,0.7357833645168488,0.0606043396341877
E4,C,validation,lstm,lstm,7,S0,42,14,330,0.9635918573719082,1.2515442602171976,0.0469950566905915,0.3459818543906708,0.6150466040693063,0.0369917839711394
E4,D,validation,persistence,lstm,7,S0,42,1,234,0.1352991452991453,0.1942506971244462,-0.004017094017094,0.988675674916876,0.988885874209326,0.0
E4,D,validation,persistence,lstm,7,S0,42,3,234,0.3557692307692307,0.521439903200333,-0.0338034188034188,0.9251265399330448,0.935137646498074,0.0
E4,D,validation,persistence,lstm,7,S0,42,5,234,0.5014102564102564,0.8370912703354365,-0.0941452991452991,0.8363559782105248,0.8450524304596944,0.0
E4,D,validation,persistence,lstm,7,S0,42,7,234,0.5938034188034188,1.0568763441564992,-0.15508547008547,0.770580419701027,0.7780587904889756,0.0
E4,D,validation,persistence,lstm,7,S0,42,14,234,0.8580769230769232,1.4723783016765304,-0.2723504273504273,0.6275607758642705,0.6677016947579437,0.0
E4,D,validation,lstm,lstm,7,S0,42,1,234,0.158532945498442,0.2064484174057245,0.023293429562169,0.987208829972106,0.9378549030448629,-0.1717217070952441
E4,D,validation,lstm,lstm,7,S0,42,3,234,0.3503518477871886,0.5074242623974441,0.0114854982979275,0.9290974529912266,0.9581221562447628,0.0152272386522264
E4,D,validation,lstm,lstm,7,S0,42,5,234,0.5104415568938622,0.8229468488791211,-0.0039727784425786,0.8418394772001889,0.8595714311258865,-0.0180117984587382
E4,D,validation,lstm,lstm,7,S0,42,7,234,0.6118872156459041,1.0378375559534874,-0.0241352649376944,0.7787715935514867,0.781802624347894,-0.0304541810805438
