comparison,horizon_days,block_length_days,n_pairs,mean_MAE_improvement_m,relative_MAE_improvement,ci_low_m,ci_high_m,dm_statistic,dm_p_value
lstm_S4_vs_ridge_S4,7,14,1442,-0.012106668394498605,-0.0201544643758501,-0.03553009258655996,0.028729419849024267,,
lstm_S4_vs_ridge_S4,7,30,1442,-0.012106668394498605,-0.0201544643758501,-0.04468729402722342,0.028208473226371204,-0.8650310720086383,0.38702173469660256
lstm_S4_vs_ridge_S4,7,60,1442,-0.012106668394498605,-0.0201544643758501,-0.0460382142950674,0.0315290452721265,,
lstm_S4_vs_ridge_S4,14,14,1442,-0.021117899061784698,-0.023727087947573534,-0.06941138475873056,0.04197274316459925,,
lstm_S4_vs_ridge_S4,14,30,1442,-0.021117899061784698,-0.023727087947573534,-0.08337364437718256,0.04377798877181837,-0.7006332793192926,0.48353190420189396
lstm_S4_vs_ridge_S4,14,60,1442,-0.021117899061784698,-0.023727087947573534,-0.08327017709925788,0.053366563018005096,,
