comparison,horizon_days,block_length_days,n_pairs,mean_MAE_improvement_m,relative_MAE_improvement,ci_low_m,ci_high_m,dm_statistic,dm_p_value,dm_holm_p_value
S4_vs_S0,7,14,1442,0.03495755608435649,0.05347669753966696,-0.007895340607807114,0.08195925896560437,,,
S4_vs_S0,7,30,1442,0.03495755608435649,0.05347669753966696,-0.019899060334667113,0.07927794225910546,1.5241757644212262,0.1274648104465258,0.2549296208930516
S4_vs_S0,7,60,1442,0.03495755608435649,0.05347669753966696,-0.0224225322750328,0.09595470383659979,,,
S4_vs_S0,14,14,1442,0.017764144711537425,0.019054445697968027,-0.03139888446263647,0.06125494022301696,,,
S4_vs_S0,14,30,1442,0.017764144711537425,0.019054445697968027,-0.04169854675745707,0.05520789491122017,0.7164642337750671,0.4737047445704347,0.4737047445704347
S4_vs_S0,14,60,1442,0.017764144711537425,0.019054445697968027,-0.039157649983112275,0.0661571468370838,,,
