station_set,horizon_days,MAE_m_mean,MAE_m_std,RMSE_m_mean,RMSE_m_std,bias_m_mean,bias_m_std,NSE_mean,NSE_std,KGE_mean,KGE_std,MAE_skill_vs_persistence_mean,MAE_skill_vs_persistence_std
S0,1,0.17738962768040653,0.06506194293149374,0.28024019029342695,0.09930370245590521,-0.010797526650958487,0.108395256611235,0.9872845925484919,0.007334711051130209,0.9568233827792337,0.021649494466326222,-0.09517079805695351,0.19671094443297957
S0,3,0.40082381499823616,0.1467350681570371,0.599278099135171,0.22397608579166123,-0.01902170438173953,0.08199972317812469,0.9439940182727388,0.027777967573326585,0.945490000973014,0.02471916014205905,0.03599065813652741,0.05827124439812321
S0,5,0.5709481929092589,0.21279058176778043,0.8195482283887157,0.3152222369296926,-0.014875706702775384,0.06956300990845712,0.8980333015010677,0.048598753457096154,0.9178839174832645,0.030565455563805757,0.02454004792159363,0.03965507339320207
S0,7,0.6885407119889203,0.23426664449106788,0.9641911376927833,0.3374383096022577,-0.009692076700924092,0.07007915714454689,0.8590659779456806,0.06640310368561943,0.8901388614013608,0.038519139954484805,0.020874934344527668,0.04089757679774482
S0,14,0.9490845111626427,0.18976327033884693,1.2902033787749638,0.29068071138400703,-0.01173293860483643,0.0871029322417993,0.733783261482681,0.1308508089940741,0.7971037552834112,0.07267915329273403,0.020364803790128536,0.030931093528404695
S4,1,0.3916608537596034,0.18860390625277088,0.48552735493222365,0.2053827681595796,0.2559359817538966,0.23924442727661938,0.9610698381300129,0.02776374943224592,0.9011302320442295,0.05343422733377054,-1.4413713330703561,0.9242130618171897
S4,3,0.4475847838387031,0.19502401129991168,0.5852913507368206,0.2065102902070773,0.22226957465023808,0.22662671565922446,0.9422623400048237,0.036680858467871655,0.905204904428106,0.05400430389409919,-0.0963810572509372,0.3426602462525714
S4,5,0.5292321162303202,0.22895841365354738,0.732988492868969,0.2618473507893984,0.17482605668484305,0.20162714566369527,0.9136547882421436,0.04751664749657609,0.9027244912787644,0.05437202430755341,0.10235732178922734,0.22231728596046554
S4,7,0.6356860728522946,0.25813372481999663,0.8905100788404663,0.30537092313877967,0.13399931252130481,0.18787718736353776,0.8728863178131712,0.06860476897729102,0.8876293354984167,0.05827453470679934,0.11457349186792751,0.16497868883121483
S4,14,0.923183250182815,0.24961292066838708,1.2527420072747661,0.3335391334735185,0.06912404126820211,0.14831552461932726,0.7397913122126224,0.1456987808677489,0.8128191194761004,0.09609589621707297,0.06049060537624537,0.07706456012027503
