station_set,horizon_days,n_issue_dates,MAE_skill_vs_persistence,skill_ci_low,skill_ci_high,NSE,predictively_useful
S4,1,1442,-1.40267183270994,-2.011498867544291,-0.9208970968602289,0.9664176277933582,False
S4,2,1442,-0.3928608006004026,-0.7408065193151894,-0.14816519027115735,0.9615605278144524,False
S4,3,1442,-0.10729054579591524,-0.32283124070847785,0.05535053587071887,0.9531026218106431,False
S4,4,1442,0.022393932357601565,-0.1366287044120328,0.14796440730489685,0.9426876904822952,False
S4,5,1442,0.08184021213804193,-0.0396654821924054,0.18051264162980357,0.9299782889366399,False
S4,6,1442,0.09742765463736902,0.004628234012849572,0.18041278263144292,0.9144828996410675,True
S4,7,1442,0.08932141874139077,-0.0024120723358658884,0.1674744264846324,0.8978997650817107,False
S4,8,1442,0.06349197470250334,-0.020350108133846967,0.14058741137548092,0.8801870971798036,False
S4,9,1442,0.0562563873837465,-0.02287768570718529,0.12417127742902219,0.8639856483754773,False
S4,10,1442,0.05230570128626966,-0.02904245248176098,0.12109616993780556,0.8484425190011717,False
S4,11,1442,0.05225057221816998,-0.031542058147802234,0.11491782382417284,0.8339893709114414,False
S4,12,1442,0.04861510514670886,-0.033716184686864964,0.11400373389688095,0.8194619547481737,False
S4,13,1442,0.044123637043064434,-0.02838817485692005,0.11462891617295,0.8054678575246224,False
S4,14,1442,0.04762313881336444,-0.024533653858194594,0.11851478735307257,0.7907920689028832,False
