date_gmt,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
7/2/2025,0,4.51,3.97,3.34,3.53,3.38,4.77,4.54,4.43,4.77,4.23,5.24,5.84,3.32,3.7,3.77,4.14,3.18,3.94,4.32
8/2/2025,0,4.37,3.93,3.27,3.51,3.37,4.76,4.49,4.3,4.35,4.18,5.3,5.48,3.33,3.62,3.63,3.94,3.54,4.12,4.11
9/2/2025,0,4.1,3.9,3.17,3.47,3.34,4.73,4.45,4.23,3.81,4.16,5.33,5.04,3.32,3.96,3.62,3.91,3.62,4.22,4.07
10/2/2025,0,3.82,3.88,3.07,3.44,3.3,4.71,4.43,4.19,3.74,4.26,5.37,4.74,3.31,3.53,3.68,3.8,3.6,4.35,4.07
11/2/2025,0,3.71,3.85,2.96,3.4,3.27,4.62,4.41,4.14,3.82,4.5,5.38,4.71,3.3,3.62,3.72,3.76,3.5,4.7,4.06
12/2/2025,0,3.6,3.8,2.88,3.37,3.22,4.51,4.38,4.1,3.83,4.78,5.32,4.69,3.36,3.67,3.74,3.95,3.46,4.7,4.02
13/2/2025,0,3.53,3.72,2.84,3.34,3.2,4.36,4.36,4.06,4.2,4.92,5.26,4.55,3.32,3.92,3.86,4.2,3.35,4.46,3.98
14/2/2025,0,3.44,3.66,2.75,3.32,3.17,4.26,4.33,4.1,3.74,4.94,5.18,4.53,3.28,4.35,3.82,4.2,3.41,0,4
15/2/2025,0,3.36,3.62,2.6,3.3,3.14,4.12,4.31,4.28,3.74,5.09,5.1,4.58,3.26,4.52,0,4.16,3.42,0,3.96
16/2/2025,0,3.32,3.6,2.5,3.3,3.12,4,4.27,4.52,3.82,5.02,5,4.6,3.27,4.26,3.7,4.16,3.44,0,3.83
17/2/2025,0,3.24,3.58,2.48,3.27,3.09,3.93,4.29,4.6,3.84,5.46,4.88,4.58,3.2,4.02,3.64,4.22,3.42,0,4.01
18/2/2025,0,3.18,3.58,2.42,3.21,3.06,3.9,4.44,4.49,3.86,5.75,4.8,4.96,3.1,4,3.61,4.32,3.46,3.53,4.11
19/2/2025,0,3.14,3.54,2.38,3.16,3.03,3.88,4.71,4.24,3.67,5.86,4.7,5.56,3.14,3.82,3.55,4.46,3.46,3.55,4.12
20/2/2025,0,3.14,3.5,2.34,3.14,2.99,3.88,5.06,4.02,3.58,5.86,4.52,6.06,3.12,3.65,3.52,4.44,3.25,3.6,4.28
21/2/2025,0,3.18,3.49,2.32,3.12,2.96,3.89,5.45,3.96,3.55,6.06,4.35,6.58,3.12,3.6,3.75,4.23,3.27,3.59,4.46
22/2/2025,0,3.23,3.49,2.3,3.1,2.94,3.87,5.47,3.94,3.56,6.32,4.3,6.68,3.15,3.74,4.06,4.12,3.32,3.62,4.48
23/2/2025,0,3.26,3.51,2.28,3.04,2.92,3.84,5.4,3.9,3.52,6.47,4.26,6.68,3.16,3.65,4.23,4.04,3.32,3.64,4.46
24/2/2025,0,3.26,3.52,2.28,3.02,2.89,3.85,5.35,3.86,3.35,6.52,4.25,6.52,3.16,3.54,4.6,4.15,3.25,3.62,4.4
25/2/2025,0,3.25,3.46,2.25,3,2.89,3.92,5.36,3.82,3.4,6.47,4.32,6.51,3.14,3.5,4.62,4.14,3.24,3.55,4.38
26/2/2025,0,3.28,3.38,2.21,2.98,2.86,3.97,5.39,3.78,3.46,5.98,4.37,6.54,3.15,3.59,4.28,4.26,3.24,3.6,4.38
27/2/2025,0,3.29,3.33,2.2,2.98,2.85,4.01,5.42,3.76,3.56,5.66,4.36,6.56,3.15,3.72,4.28,4.48,0,3.71,4.36
28/2/2025,0,3.28,3.29,2.17,2.99,2.84,4.01,5.48,3.75,3.8,5.8,4.35,6.38,3.04,3.94,4.56,4.46,3.2,3,4.28
2025-02-29,0,3.24,0,0,0,2.8,0,0,0,4.16,0,0,0,3.04,0,0,0,3.2,0,0
1/3/2025,0,3.14,3.25,2.14,3.03,2.79,3.99,5.66,3.72,4.52,6.2,4.46,6.42,3.02,4.06,4.68,4.58,3.14,4.65,4.28
2/3/2025,0,3.05,3.23,2.12,3.04,2.78,3.96,5.8,3.7,4.74,6.39,4.68,6.42,3.04,3.98,4.71,4.84,3.2,5.19,4.28
3/3/2025,0,2.97,3.2,2.1,3.06,2.75,3.95,5.78,3.66,5.38,6.46,5.04,6.5,3.06,3.96,4.54,4.76,3.28,5.35,4.3
4/3/2025,0,2.95,3.18,2.14,3.08,2.73,3.95,5.83,3.64,5.12,6.46,5.16,6.46,2.91,3.97,4.31,4.64,3.52,5.53,4.3
5/3/2025,0,3.03,3.16,2.18,3.1,2.71,3.95,5.9,3.61,4.64,6.46,5.22,6.34,2.92,3.86,4.12,4.54,3.65,0,4.32
6/3/2025,0,3.08,3.12,2.17,3.1,2.7,3.98,5.94,3.59,4.04,6.46,5.12,6.3,2.92,3.84,4.1,4.26,3.78,5.44,4.31
7/3/2025,0,3.07,3.08,2.18,3.08,2.68,3.98,5.92,3.56,3.8,6.45,5.06,6.14,2.92,3.88,4.34,3.9,3.76,5.4,4.32
8/3/2025,0,3,3.04,2.18,3.08,2.66,4.01,5.87,3.6,3.79,6.46,4.92,6.17,2.98,3.89,4.91,3.7,3.5,5.36,4.31
9/3/2025,0,2.96,3.02,2.2,3.1,2.64,4.03,5.8,3.85,3.8,6.38,4.8,6.18,3,3.92,5.25,3.58,3.38,5.4,4.26
10/3/2025,0,2.96,3,2.2,3.11,2.63,4.14,5.81,4.56,3.59,6.14,4.7,6.2,2.97,3.93,5.36,3.55,3.32,5.45,4.22
11/3/2025,0,2.95,2.98,2.25,3.14,2.7,4.23,5.91,5.38,3.6,5.78,4.59,6.3,2.94,3.94,5.57,3.6,3.22,5.39,4.29
12/3/2025,0,2.99,2.98,2.28,3.12,2.77,4.3,5.98,5.78,3.67,5.62,4.44,6.42,2.94,3.96,5.8,3.71,3.09,5.37,4.34
13/3/2025,0,3.12,2.98,2.27,3.1,2.71,4.32,6.01,5.92,3.86,5.82,4.3,6.42,2.92,4.08,5.78,3.88,3.12,5.37,4.32
14/3/2025,0,3.17,2.97,2.27,3.11,2.64,4.3,6,5.92,3.86,6.16,4.06,6.53,2.9,4.23,5.61,4.13,3.16,5.37,4.34
15/3/2025,0,3.14,2.96,2.27,3.12,2.62,4.29,5.94,5.86,3.84,6.32,3.98,6.48,2.87,4.2,5.72,4.14,3.16,5.3,4.31
16/3/2025,0,3.1,2.96,2.31,3.15,2.63,4.26,5.84,5.72,3.86,6.32,3.99,6.54,2.86,4.05,5.98,4.22,3.14,5.3,4.3
17/3/2025,0,3.06,2.96,2.45,3.23,2.64,4.2,5.76,5.62,4.1,6.18,4.02,6.44,2.86,4.02,6.13,4.18,3.14,5.39,4.26
18/3/2025,0,2.9,2.91,2.5,3.45,2.66,4.12,5.74,5.58,4.74,6.12,4.07,6.42,2.87,4.1,6.38,3.96,3.1,5.58,4.33
19/3/2025,0,2.89,2.89,2.44,3.87,2.68,4.04,5.68,5.56,5.22,6.04,4.12,6.42,2.88,4.2,6.62,3.86,0,5.6,4.36
20/3/2025,0,2.89,2.99,2.41,4.07,2.66,3.98,5.65,5.58,5.42,6,4.08,6.4,2.91,4.13,6.38,3.62,3.03,5.47,4.28
21/3/2025,0,2.96,2.84,2.4,4.13,2.62,3.99,5.66,5.6,5.46,6.12,4.06,6.38,2.97,4.06,6.44,3.77,3.07,5.56,4.29
22/3/2025,0,3.01,2.82,2.41,4.47,2.6,3.96,5.67,5.58,5.46,6.15,4.2,6.4,3,4,6.56,3.88,3,5.8,4.32
23/3/2025,0,2.98,2.86,2.38,4.47,2.58,3.8,5.68,5.52,5.47,6.2,4.52,6.37,3.34,3.7,6.43,4.12,2.95,5.96,4.24
24/3/2025,0,2.89,2.86,2.35,4.72,2.55,3.66,5.65,5.58,5.51,6.12,4.85,6.32,3.32,3.68,6.48,4.31,2.98,5.89,4.22
25/3/2025,0,2.85,2.86,2.38,4.57,2.52,3.56,5.66,5.8,5.5,6.1,5.06,6.26,3.3,3.78,6.4,4.55,3.03,5.46,4.12
26/3/2025,0,2.83,2.89,2.4,4.31,2.52,3.42,5.62,5.96,5.47,6.12,5.26,6.3,3.3,3.92,6,4.69,2.94,5.34,4.14
27/3/2025,0,2.83,2.93,2.33,3.98,2.51,3.25,5.56,6.16,6,6.18,5.35,6.34,3.27,4.12,5.74,4.5,2.95,5.2,4.17
28/3/2025,0,2.8,2.9,2.24,3.68,2.51,3.15,5.51,6.14,5.74,6.14,5.31,6.26,3.27,4.24,5.68,4.5,2.95,5.07,4.2
29/3/2025,0,2.83,2.9,2.22,3.52,2.5,3.1,5.47,6.06,5.58,5.96,5.36,6.24,3.37,4.35,5.83,4.51,2.96,4.82,4.22
30/3/2025,0,2.94,2.83,2.24,3.43,2.5,3.07,5.48,6.1,5.5,5.74,5.4,6.1,3.41,4.5,6.03,4.32,2.97,4.8,4.14
31/3/2025,0,3.1,2.86,2.21,3.42,2.51,3.03,5.44,6.2,4.97,5.78,5.2,6.3,3.51,4.58,5.98,4.14,2.99,5.1,4.1
1/4/2025,0,3.15,2.9,2.13,3.47,2.51,3,5.4,6.16,5.12,6.1,4.96,6.32,3.72,4.72,5.67,4.03,3.12,5.2,4.08
2/4/2025,0,3.13,3.06,2.07,3.51,2.51,2.93,5.32,5.78,5.35,6.42,4.86,6.69,4.06,4.72,5.71,3.8,3.12,5.43,4.29
3/4/2025,0,3.15,3.08,2.19,3.56,2.51,2.88,5.3,5.41,5.4,6.54,5.31,6.92,4.36,4.66,5.67,3.65,3.14,5.51,4.35
4/4/2025,0,3.14,3.02,2.32,3.67,2.5,2.8,5.36,5.35,5.56,6.44,6.02,6.86,4.63,4.72,5.6,3.47,3.08,5.37,4.38
5/4/2025,0,3.1,2.98,2.43,3.73,2.49,2.74,5.38,5.47,5.5,6.35,6.46,6.82,4.62,4.73,5.41,3.45,3.02,5.32,4.43
6/4/2025,0,3.06,3.02,2.46,3.68,2.49,2.7,5.39,5.72,5.47,6.32,6.6,6.82,4.3,4.9,5.35,3.4,3.12,5.43,4.42
7/4/2025,0,3.02,3.13,2.46,3.58,2.52,2.74,5.38,6,5.54,6.34,6.67,6.98,4.03,5.32,5.23,3.36,3.25,5.52,4.52
8/4/2025,0,3.06,3.3,2.49,3.54,2.6,2.86,5.48,6.17,5.62,6.22,6.72,7.06,3.86,5.23,5.13,3.34,3.26,5.46,4.57
9/4/2025,0,3.14,3.33,2.56,3.54,2.64,2.96,5.6,6.22,5.54,6.15,6.83,6.96,3.99,5.1,5.16,3.33,3.12,5.65,4.53
10/4/2025,0,3.19,3.4,2.57,3.52,2.68,2.97,5.63,6.18,5.48,5.76,6.7,6.97,3.97,5.02,5.16,3.27,3.1,5.56,4.52
11/4/2025,0,3.14,3.52,2.56,3.6,2.7,2.94,5.66,6.07,5.52,5.38,6.72,6.65,3.76,5.06,5.2,3.18,3.05,5.45,4.41
12/4/2025,0,3.02,3.54,2.54,3.71,2.7,2.92,5.72,5.89,5.44,5.37,6.65,6.56,3.62,5.18,5.28,3.16,3.02,5.45,4.37
13/4/2025,0,2.88,3.64,2.52,3.68,2.68,2.96,5.74,5.91,5.42,5.82,6.56,6.5,3.62,5.18,5.46,3.22,3.1,5.32,4.26
14/4/2025,0,2.8,4.04,2.52,3.6,2.75,3.1,5.65,5.99,5.4,6.22,6.4,6.49,3.59,5.31,5.53,3.25,3.2,5.02,4.22
15/4/2025,0,2.67,4.42,2.54,3.58,2.72,3.41,5.53,6.25,5.38,6.35,6.08,6.4,3.46,5.66,5.6,3.26,3.32,4.42,4.15
16/4/2025,0,2.63,4.36,2.57,3.46,2.68,4,5.41,6.46,5.36,5.9,5.58,6.52,3.55,5.82,5.41,3.26,3.35,4.4,4.21
17/4/2025,0,2.64,4.39,2.58,3.36,2.64,4.41,5.32,6.38,5.26,5.24,5.1,6.05,3.76,5.7,5.32,3.27,3.3,4.56,4.23
18/4/2025,0,2.66,4.2,2.6,3.32,2.6,4.29,5.24,6.05,4.86,4.74,4.72,5.64,3.88,5.54,5.26,3.3,3.2,4.66,4.04
19/4/2025,0,2.75,3.95,2.66,3.31,2.56,3.84,4.93,5.43,4.36,4.64,4.75,5.42,3.96,5.49,5.4,3.34,3.24,4.68,3.8
20/4/2025,0,2.83,3.74,2.74,3.29,2.52,3.51,4.6,4.83,3.96,4.52,4.85,5.18,3.95,5.53,5.77,3.46,3.32,4.65,3.84
21/4/2025,0,2.94,3.56,2.76,3.24,2.48,3.47,4.42,4.5,3.76,4.38,4.88,5.02,3.72,5.76,5.34,3.48,3.35,4.7,3.91
22/4/2025,0,3.06,3.37,2.71,3.19,2.44,3.57,4.41,4.34,3.69,4.32,4.95,5.08,3.76,5.86,5.16,3.41,3.47,4.5,3.98
23/4/2025,0,3.14,3.18,2.68,3.2,2.41,3.7,4.9,4.42,3.76,4.38,5.24,5.06,3.86,5.87,4.91,3.3,3.36,4.55,3.99
24/4/2025,0,3.14,3.15,2.73,3.26,2.4,3.76,5.2,4.96,3.8,4.74,5.96,5.26,3.8,5.84,4.82,3.26,3.22,4.6,4.07
25/4/2025,0,3.06,3.12,2.77,3.33,2.39,3.72,5.27,5.62,3.76,5.66,6.51,5.86,3.74,5.89,5.44,3.07,3.2,4.67,4.31
26/4/2025,0,3.01,3.1,2.81,3.36,2.39,3.64,5.26,5.8,3.77,6.35,6.78,6.3,3.94,5.9,5.82,3,3.1,4.75,4.42
27/4/2025,0,2.88,3.16,2.86,3.43,2.38,3.58,5.26,5.86,3.86,6.6,6.96,6.7,4.4,5.83,6.26,3.04,3,4.97,4.5
28/4/2025,0,2.8,3.33,2.92,3.56,2.42,3.66,5.3,5.88,4.18,6.76,6.86,6.74,4.54,5.82,6.73,2.99,3.14,4.9,4.45
29/4/2025,0,2.89,3.54,3.14,3.83,2.5,3.77,5.32,5.96,4.56,6.72,6.76,6.67,4.32,5.88,6.92,3.01,3.29,4.95,4.5
30/4/2025,0,3.09,3.67,3.26,4.14,2.51,3.92,5.36,6.12,4.62,6.75,6.8,6.56,4.48,5.88,6.88,3.21,3.72,4.95,4.54
1/5/2025,0,3.41,3.5,3.44,4.5,2.51,4.18,5.41,6.26,4.61,6.65,6.92,6.54,4.64,5.92,6.85,3.31,4.08,4.95,4.59
2/5/2025,0,3.77,3.36,3.54,4.73,2.52,4.32,5.36,6.22,4.6,6.5,7.02,6.54,4.48,6.02,6.76,3.5,3.82,4.85,4.62
3/5/2025,0,4.06,3.31,3.56,4.96,2.46,4.33,5.35,6.51,4.61,6.39,6.94,6.72,4.58,6.08,6.7,3.79,3.47,4.65,4.62
4/5/2025,0,4.1,3.3,3.6,5.01,2.41,4.3,5.68,6.15,4.71,6.15,6.98,6.65,4.74,6.07,6.58,3.99,3.3,4.52,4.59
5/5/2025,0,4.22,3.25,3.48,4.94,2.38,4.47,5.7,5.94,4.81,5.62,6.97,6.64,0,6.26,6.8,3.91,3.1,4.58,4.57
6/5/2025,0,4.24,3.37,3.3,4.9,2.38,4.65,5.43,5.92,4.86,5.16,7.02,6.58,4.95,6.34,6.72,3.68,2.89,4.55,4.59
7/5/2025,0,4.06,3.57,3.21,4.98,2.4,4.72,5.1,5.39,4.88,4.79,7.08,6.26,4.98,6.32,6.42,3.46,2.82,4.58,4.61
8/5/2025,0,3.88,3.83,3.18,5.13,2.6,4.69,4.99,4.86,4.83,4.56,7.28,6.09,4.52,6.26,6.17,3.29,2.9,4.85,4.67
9/5/2025,0,3.86,3.96,3.1,5.44,2.78,4.66,5.33,4.46,4.78,4.98,7.27,5.98,4.23,6.2,5.96,3.28,2.9,4.84,4.71
10/5/2025,0,4.18,3.9,3.03,5.74,2.8,4.72,5.76,4.32,4.76,5.86,7.48,5.85,4.04,6.12,5.95,3.32,3,4.6,4.79
11/5/2025,0,4.83,3.82,2.95,5.83,2.94,4.86,6.01,4.39,4.73,6.31,7.52,5.72,3.94,6.18,6.16,3.28,3.1,4.53,4.75
12/5/2025,0,5.46,3.78,2.92,5.85,3.46,4.97,6.04,4.5,4.69,6.38,7.4,5.88,3.98,6.3,6.33,3.26,3.16,4.58,4.68
13/5/2025,0,5.84,3.66,2.92,6.06,4.43,4.86,5.9,4.6,4.64,6.38,7.27,6.08,3.97,6.32,6.42,3.36,3.2,4.35,4.64
14/5/2025,0,5.78,3.52,2.97,6.28,5.17,4.8,5.67,4.73,4.6,6.46,7.28,6.22,3.9,6.32,6.45,3.77,3.1,4.45,4.63
15/5/2025,0,5.34,3.63,3.1,6.42,5.35,4.87,5.46,4.8,4.65,6.52,7.2,6.33,3.88,6.38,6.57,4.22,3.21,4.65,4.58
16/5/2025,0,4.84,3.83,3.19,6.48,5.26,4.9,5.6,4.76,4.8,6.56,7.06,6.4,3.86,6.52,7.22,4.27,3.36,4.9,4.65
17/5/2025,0,4.85,3.9,3.21,6.49,4.97,4.84,5.76,4.68,4.98,7.02,7,6.42,3.89,6.51,7.57,4.36,3.26,4.86,4.81
18/5/2025,0,4.83,4,3.18,6.46,4.38,4.71,5.76,4.68,5.2,7.96,7,6.32,4.18,6.28,7.75,4.81,3.37,4.84,5.21
19/5/2025,0,4.6,4.28,3.14,6.48,3.61,4.58,5.58,4.78,5.22,8.97,7.08,6.28,4.28,6.59,7.76,5.13,3.73,4.71,5.4
20/5/2025,0,4.61,4.71,3.2,6.6,3.21,4.46,5.52,4.84,5.22,8.52,7.08,6.38,4.18,6.68,7.5,4.92,4.01,4.95,5.21
21/5/2025,0,4.73,5.4,3.3,6.94,3.04,4.4,5.8,4.84,5.5,8.4,6.88,6.35,3.98,6.72,7.17,4.6,0,5.1,5.15
22/5/2025,0,4.98,6.08,3.39,6.89,2.88,4.42,6.05,4.8,5.08,8.16,7.02,6.48,3.82,6.6,6.77,4.2,0,5.2,5.42
23/5/2025,0,5.2,6.05,3.35,6.74,2.8,4.51,6.2,4.74,5.38,8.02,6.86,6.66,3.78,6.42,7.62,4.02,0,5.16,5.47
24/5/2025,0,5.43,5.92,3.25,6.6,2.79,4.56,6.26,4.78,5.36,7.82,6.9,6.78,3.76,6.38,7.91,4.1,0,5.5,5.67
25/5/2025,0,5.84,5.76,3.2,6.5,2.76,4.5,6.28,4.96,5.22,7.62,7.09,6.74,3.92,6.6,8.87,4.3,0,6.08,5.69
26/5/2025,0,6.15,5.37,3.14,6.44,2.79,4.44,6.32,5.06,5.08,7.52,6.91,6.8,3.92,6.64,9.6,4.42,0,6,5.89
27/5/2025,0,6.18,4.92,3.14,6.4,2.94,4.46,6.36,5.22,5,7.45,6.82,6.76,3.84,6.54,9.3,4.48,0,6.28,5.75
28/5/2025,0,5.96,4.53,3.18,6.55,3.18,4.61,6.51,5.42,4.96,7.32,7.01,6.68,3.76,6.28,8.95,4.48,0,6.61,5.68
29/5/2025,0,5.81,4.3,3.31,6.4,3.59,4.93,6.46,5.48,5.04,6.96,7.22,6.65,3.75,6.16,8.51,4.49,0,6.46,5.48
30/5/2025,0,5.72,4.12,3.44,6.34,3.84,5.24,6.53,5.45,5.28,6.87,7.4,6.78,3.78,6.46,8.04,4.42,0,6.32,5.32
31/5/2025,0,5.44,4.44,3.44,6.13,4.19,5.26,6.52,5.2,5.26,6.98,7.56,6.82,3.7,6.6,7.76,4.48,0,6.38,5.33
1/6/2025,0,0,4.95,5.07,3.78,6.11,4.74,5.1,0,4.94,5.46,7,7.7,6.96,3.74,6.43,7.59,4.53,4.79,5.33
2/6/2025,0,0,4.59,5.3,4.11,6.22,5.26,4.77,0,4.59,5.45,7.02,7.72,6.96,3.76,6.36,7.35,4.56,4.55,5.4
3/6/2025,0,0,4.61,5.24,4.47,6.57,5.42,4.54,0,4.31,5.42,6.68,7.78,7.05,3.76,6.34,7.14,4.47,4.5,5.46
4/6/2025,0,0,5.38,5.12,4.53,6.8,5.73,4.55,0,4.39,5.56,6.1,7.62,7.16,3.96,6.2,7.51,4.34,4.1,5.55
5/6/2025,0,0,6.9,5.25,4.38,7.05,6.08,4.52,0,5.2,5.77,5.5,7.31,7.34,4.32,5.91,7.68,4.46,4.48,5.64
6/6/2025,0,0,7.52,5.8,4.51,7.2,6.54,4.52,0,5.94,5.86,5.1,6.98,7.34,4.4,5.84,7.96,4.43,4.78,5.75
7/6/2025,0,0,7.64,6.42,4.83,7.31,6.73,4.6,0,6.12,6.11,4.76,7.2,7.36,4.4,5.72,8.06,4.57,4.82,5.83
8/6/2025,0,0,7.76,6.93,5.08,7.55,6.62,4.74,0,6.16,5.88,4.7,7.5,7.33,4.36,5.62,7.92,4.8,4.8,5.89
