scope,horizon_days,block_length_days,n_pairs,mean_loss_differential_m,ci_low_m,ci_high_m,dm_hac_lag,dm_statistic,dm_p_value,dm_holm_p_value
horizon_7,7,14,663,0.022115599180418645,-0.021881501037161074,0.07181614742862955,,,,
horizon_7,7,30,663,0.022115599180418645,-0.025021032050341833,0.0640716857385806,6.0,0.8239817309696321,0.4099499385278877,0.8198998770557754
horizon_7,7,60,663,0.022115599180418645,-0.024420000752082966,0.057308300878217686,,,,
horizon_14,14,14,663,-0.041000649506509834,-0.1437912911476501,0.037886709097913356,,,,
horizon_14,14,30,663,-0.041000649506509834,-0.1617055022552002,0.0191794457439654,13.0,-0.661136330366454,0.5085248883111841,0.8198998770557754
horizon_14,14,60,663,-0.041000649506509834,-0.16823959588734808,0.00595807652726084,,,,
combined_horizons_7_14,7|14,14,663,-0.009442525163045595,-0.07635650316210034,0.04904191294224827,,,,
combined_horizons_7_14,7|14,30,663,-0.009442525163045595,-0.0918122304925641,0.03487611721937028,,,,
combined_horizons_7_14,7|14,60,663,-0.009442525163045595,-0.08886391056630176,0.02006766001758811,,,,
