lookback_days,objective_mean_MAE_m,fold_SD_m,count,fold_SE_m,within_one_SE_of_best
7,0.8062796034780185,0.05063702768595103,4,0.025318513842975517,True
14,0.8243883122297891,0.05503688672103837,4,0.027518443360519184,False
30,0.8205486970264914,0.10885565284264842,4,0.05442782642132421,False
60,0.7756644507771737,0.07842084711978418,4,0.03921042355989209,True
