date,actual,predicted,error,error_percent
2025-04-07,2.1100001,1.8319619,0.27803826,13.177168
2025-04-08,2.17,1.883331,0.28666914,13.210559
2025-04-09,2.25,1.9548517,0.29514825,13.117701
2025-04-10,2.29,1.9446125,0.34538746,15.082422
2025-04-11,2.26,1.9094698,0.35053015,15.510183
2025-04-12,2.1000001,1.8480781,0.251922,11.996285
2025-04-13,2.0200002,1.7878531,0.2321471,11.49243
2025-04-14,1.95,1.7297876,0.22021246,11.292946
2025-04-15,1.9,1.7114635,0.18853652,9.922976
2025-04-16,1.86,1.7047067,0.15529335,8.349104
2025-04-17,1.95,1.7402856,0.20971441,10.754585
2025-04-18,2.0200002,1.7823923,0.23760796,11.762769
2025-04-19,1.9800001,1.6966985,0.2833016,14.308161
2025-04-20,1.8299999,1.5642732,0.2657267,14.520584
2025-04-21,1.63,1.5727272,0.05727279,3.513668
2025-04-22,1.55,1.6363984,-0.08639848,-5.5740957
2025-04-23,1.53,1.6487122,-0.11871219,-7.758967
2025-04-24,1.54,1.6666441,-0.12664413,-8.223645
2025-04-25,1.63,1.7012434,-0.071243405,-4.370761
2025-04-26,1.95,1.7777375,0.17226255,8.833977
2025-04-27,2.13,1.8221911,0.307809,14.451125
2025-04-28,2.2,1.8695246,0.33047545,15.021612
2025-04-29,2.18,1.9674822,0.21251786,9.748526
2025-04-30,2.2,2.1151898,0.08481026,3.8550117
2025-05-01,2.2700002,2.1726253,0.097374916,4.2896433
2025-05-02,2.3100002,2.1724658,0.13753438,5.953869
2025-05-03,2.34,2.208244,0.13175583,5.630591
2025-05-04,2.3200002,2.197711,0.12228918,5.271085
2025-05-05,2.34,2.1761413,0.16385865,7.0025063
2025-05-06,2.3700001,2.1383243,0.23167586,9.7753525
2025-05-07,2.38,2.1460927,0.23390746,9.828045
2025-05-08,2.4,2.1245785,0.27542162,11.475901
2025-05-09,2.44,2.0961068,0.3438933,14.093987
2025-05-10,2.47,2.048587,0.42141294,17.061253
2025-05-11,2.56,2.0805743,0.47942567,18.727566
2025-05-12,2.5800002,2.1153045,0.4646957,18.01146
2025-05-13,2.52,2.1148899,0.40511012,16.075798
2025-05-14,2.47,2.128097,0.34190297,13.842225
2025-05-15,2.47,2.1266818,0.34331822,13.899523
2025-05-16,2.56,2.096342,0.46365786,18.111635
2025-05-17,2.5900002,2.221221,0.36877918,14.238578
2025-05-18,2.6,2.4112852,0.18871474,7.2582593
2025-05-19,3.12,2.620061,0.49993896,16.023685
2025-05-20,3.42,2.7823539,0.6376462,18.644625
2025-05-21,3.25,2.7734532,0.47654676,14.662978
2025-05-22,3.3500001,2.6463315,0.7036686,21.005032
