model,start_time,end_time,duration_seconds,duration_minutes,mse,rmse,mae,r2,accuracy,mape,accuracy_5pct,accuracy_10pct
GRU,2025-11-12T16:43:30.050150,2025-11-12T16:46:14.422104,164.37195491790771,2.7395325819651286,0.8720294237136841,0.9338251569291138,0.5344211459159851,0.9409857392311096,94.09857392311096,Infinity,N/A,N/A
LSTM,2025-11-12T16:00:11.939751,2025-11-12T16:02:25.085484,133.14573287963867,2.219095547993978,0.6103814244270325,0.7812691113995436,0.3577345907688141,0.9586926698684692,95.86926698684692,Infinity,N/A,N/A
Random Forest,2025-11-12T16:02:25.091215,2025-11-12T16:02:25.341091,0.24986886978149414,0.004164481163024902,0.061335086245391336,0.24765921393194992,0.14781567677806493,0.9927763647089635,99.27763647089634,N/A,N/A,N/A
Support Vector Machine,2025-11-12T16:02:25.346655,2025-11-12T16:02:26.275297,0.9286420345306396,0.015477367242177327,0.06192432224507553,0.2488459809703093,0.17921856827019028,0.9927069684429333,99.27069684429333,Infinity,54.718417047184175,79.68036529680366
