date,actual,predicted,error,error_percent
2025-04-07,2.1100001,1.9103483,0.19965184,9.462172
2025-04-08,2.17,1.9278063,0.24219382,11.161005
2025-04-09,2.25,1.9803071,0.2696929,11.986351
2025-04-10,2.29,1.9823036,0.30769634,13.436522
2025-04-11,2.26,1.9520354,0.30796456,13.626751
2025-04-12,2.1000001,1.8903275,0.20967269,9.984413
2025-04-13,2.0200002,1.8309261,0.18907416,9.3601055
2025-04-14,1.95,1.7691948,0.1808052,9.272061
2025-04-15,1.9,1.7292461,0.17075384,8.987043
2025-04-16,1.86,1.7107954,0.14920461,8.021753
2025-04-17,1.95,1.7290856,0.22091448,11.328947
2025-04-18,2.0200002,1.7814591,0.23854113,11.808966
2025-04-19,1.9800001,1.7551578,0.22484231,11.355671
2025-04-20,1.8299999,1.6448495,0.18515038,10.117508
2025-04-21,1.63,1.5997639,0.030236125,1.854977
2025-04-22,1.55,1.6496271,-0.09962714,-6.427558
2025-04-23,1.53,1.7027646,-0.17276466,-11.291808
2025-04-24,1.54,1.7363989,-0.19639897,-12.75318
2025-04-25,1.63,1.7689401,-0.1389401,-8.523932
2025-04-26,1.95,1.8367245,0.11327553,5.8090014
2025-04-27,2.13,1.9015771,0.228423,10.724084
2025-04-28,2.2,1.9442055,0.25579453,11.627024
2025-04-29,2.18,2.0033782,0.17662191,8.101922
2025-04-30,2.2,2.1035757,0.09642434,4.3829246
2025-05-01,2.2700002,2.164046,0.10595417,4.6675844
2025-05-02,2.3100002,2.2136383,0.096361876,4.1715093
2025-05-03,2.34,2.2520616,0.08793831,3.7580476
2025-05-04,2.3200002,2.2647514,0.055248737,2.381411
2025-05-05,2.34,2.2436755,0.096324444,4.1164293
2025-05-06,2.3700001,2.1909554,0.17904472,7.5546293
2025-05-07,2.38,2.1664774,0.21352267,8.97154
2025-05-08,2.4,2.1537867,0.24621344,10.258893
2025-05-09,2.44,2.1379058,0.30209422,12.380911
2025-05-10,2.47,2.1071746,0.3628254,14.689287
2025-05-11,2.56,2.1164951,0.4435048,17.324408
2025-05-12,2.5800002,2.1374574,0.4425428,17.15282
2025-05-13,2.52,2.1381104,0.38188958,15.154348
2025-05-14,2.47,2.1406984,0.3293016,13.332048
2025-05-15,2.47,2.1525083,0.31749177,12.853917
2025-05-16,2.56,2.1442437,0.41575623,16.240479
2025-05-17,2.5900002,2.2233021,0.36669803,14.158223
2025-05-18,2.6,2.3886478,0.21135211,8.128927
2025-05-19,3.12,2.5978067,0.5221932,16.736961
2025-05-20,3.42,2.7760024,0.64399767,18.830341
2025-05-21,3.25,2.8014483,0.44855165,13.80159
2025-05-22,3.3500001,2.702775,0.64722514,19.320152
2025-05-23,3.72,2.7960362,0.9239638,24.837736
2025-05-24,3.77,3.04307,0.7269299,19.281961
2025-05-25,3.8899999,3.2532392,0.6367607,16.36917
2025-05-26,3.87,3.3572361,0.51276374,13.249709
2025-05-27,3.7499998,3.4804294,0.26957035,7.188543
2025-05-28,3.69,3.5832667,0.10673332,2.8925018
2025-05-29,3.58,3.5235705,0.056429386,1.5762398
2025-05-30,3.49,3.361292,0.12870812,3.6879117
2025-05-31,3.47,3.1409066,0.32909346,9.483961
2025-06-01,3.21,2.9868312,0.22316885,6.9523005
2025-06-02,3.26,2.772165,0.48783493,14.964262
2025-06-03,3.33,2.7310596,0.5989404,17.986198
